,0
0,30690133
1,30690082
2,30689903
3,30689684
4,30689673
5,30689089
6,30688487
7,30687746
8,30687684
9,30687550
10,30687476
11,30687225
12,30687125
13,30686566
14,30685336
15,30685335
16,30684849
17,30683985
18,30683825
19,30682780
20,30682769
21,30682139
22,30682078
23,30681105
24,30680920
25,30680362
26,30680172
27,30680080
28,30680023
29,30679938
30,30679580
31,30679508
32,30679477
33,30678856
34,30678820
35,30678612
36,30678223
37,30678197
38,30678182
39,30677742
40,30675990
41,30675456
42,30675160
43,30674985
44,30674978
45,30674622
46,30674450
47,30674226
48,30673851
49,30673669
50,30673504
51,30673296
52,30672742
53,30672719
54,30672576
55,30672127
56,30671370
57,30671117
58,30670942
59,30670847
60,30670846
61,30670780
62,30670753
63,30670473
64,30670159
65,30669573
66,30669549
67,30669348
68,30668424
69,30667154
70,30666991
71,30666989
72,30666984
73,30666980
74,30666458
75,30664943
76,30664922
77,30664741
78,30664661
79,30664471
80,30662654
81,30662586
82,30662369
83,30662340
84,30661931
85,30661649
86,30661507
87,30661330
88,30660732
89,30660706
90,30660687
91,30660601
92,30660137
93,30659939
94,30659469
95,30659412
96,30659084
97,30659075
98,30659044
99,30658634
100,30658630
101,30658097
102,30657914
103,30657439
104,30657431
105,30657255
106,30656889
107,30655683
108,30655217
109,30654818
110,30654812
111,30654805
112,30654453
113,30654277
114,30654169
115,30651608
116,30651193
117,30650583
118,30650574
119,30650556
120,30650536
121,30650530
122,30649593
123,30649324
124,30648276
125,30648033
126,30647452
127,30646532
128,30646204
129,30646134
130,30645010
131,30644630
132,30644575
133,30644556
134,30644069
135,30643981
136,30643537
137,30643535
138,30643137
139,30642871
140,30642815
141,30642789
142,30642052
143,30642033
144,30641996
145,30641979
146,30641941
147,30641857
148,30641732
149,30641689
150,30640286
151,30640135
152,30639806
153,30639734
154,30639608
155,30639450
156,30639359
157,30639358
158,30639268
159,30639195
160,30638821
161,30638632
162,30638212
163,30637966
164,30637735
165,30637489
166,30637329
167,30636657
168,30636636
169,30636247
170,30636176
171,30636111
172,30636104
173,30635861
174,30635840
175,30635612
176,30635594
177,30635550
178,30635106
179,30635024
180,30634981
181,30634657
182,30634578
183,30634484
184,30633969
185,30633898
186,30633643
187,30633176
188,30632684
189,30631778
190,30631281
191,30631157
192,30630994
193,30630708
194,30630288
195,30630179
196,30630109
197,30630004
198,30629923
199,30629464
200,30629164
201,30629126
202,30628563
203,30628172
204,30628158
205,30628058
206,30626895
207,30626749
208,30626728
209,30626266
210,30626127
211,30625317
212,30625301
213,30624598
214,30624587
215,30624532
216,30623851
217,30623792
218,30623320
219,30623143
220,30623041
221,30623013
222,30622706
223,30622622
224,30622603
225,30622587
226,30622452
227,30622312
228,30622311
229,30622308
230,30621799
231,30621789
232,30621673
233,30621476
234,30621393
235,30621142
236,30620684
237,30620339
238,30620245
239,30619871
240,30619612
241,30619475
242,30619236
243,30619085
244,30618891
245,30618744
246,30618143
247,30617744
248,30617219
249,30616417
250,30616064
251,30615977
252,30615803
253,30615497
254,30615487
255,30615204
256,30615192
257,30613508
258,30612898
259,30612591
260,30612202
261,30611993
262,30611080
263,30610883
264,30610871
265,30610284
266,30609928
267,30609810
268,30609782
269,30609412
270,30609185
271,30608967
272,30608932
273,30607789
274,30606929
275,30606703
276,30606441
277,30606178
278,30606173
279,30606084
280,30606039
281,30605818
282,30605678
283,30605676
284,30605666
285,30604082
286,30602969
287,30602659
288,30602591
289,30602375
290,30602028
291,30601702
292,30600520
293,30600348
294,30600194
295,30599898
296,30599479
297,30599270
298,30599265
299,30599260
300,30597981
301,30597839
302,30597761
303,30597221
304,30596882
305,30596809
306,30596786
307,30596521
308,30596513
309,30596095
310,30595703
311,30595593
312,30595089
313,30593836
314,30593678
315,30593430
316,30593328
317,30592891
318,30592885
319,30592844
320,30592842
321,30592063
322,30591855
323,30591672
324,30591521
325,30590877
326,30590563
327,30589999
328,30589890
329,30589455
330,30588881
331,30588652
332,30588210
333,30587816
334,30587791
335,30587492
336,30586894
337,30586726
338,30586658
339,30586587
340,30585412
341,30585393
342,30585215
343,30584969
344,30584441
345,30584439
346,30584436
347,30584344
348,30583978
349,30583863
