id,target
0,0.07779
1,0.07944
2,0.08171
3,0.06574
4,0.07500
5,0.08750
6,0.09029
8,0.07902
10,0.10938
11,0.09799
12,0.08429
14,0.08087
15,0.10357
18,0.10610
21,0.09901
23,0.07076
24,0.07451
25,0.08648
27,0.07958
29,0.10585
30,0.08680
31,0.09991
32,0.10851
33,0.07879
37,0.10068
38,0.08124
39,0.08210
40,0.08038
41,0.08424
42,0.08871
44,0.08277
45,0.06754
47,0.09702
49,0.07027
51,0.10179
52,0.06541
53,0.09333
54,0.11125
55,0.08585
56,0.07291
57,0.12951
59,0.11895
60,0.08184
62,0.08442
63,0.15277
67,0.08115
68,0.08131
69,0.08136
70,0.09009
71,0.07471
73,0.10740
75,0.06933
76,0.07595
81,0.07363
82,0.10911
83,0.09819
86,0.09133
87,0.09151
88,0.09080
91,0.09127
92,0.08489
94,0.07251
97,0.08724
100,0.08460
102,0.08416
103,0.07576
105,0.09987
106,0.10729
108,0.08367
113,0.10799
114,0.07555
115,0.06955
118,0.09689
122,0.08363
124,0.09449
126,0.08526
128,0.10068
129,0.09710
130,0.08900
131,0.06653
132,0.07747
133,0.07447
134,0.07950
135,0.09491
136,0.07144
139,0.07978
140,0.08830
141,0.11487
146,0.07813
148,0.09600
151,0.08143
152,0.11069
154,0.08522
157,0.07477
158,0.06703
159,0.10273
161,0.07461
164,0.06609
165,0.11918
167,0.12424
168,0.10704
169,0.07876
171,0.09317
172,0.11223
173,0.06795
174,0.07444
175,0.08787
176,0.06831
178,0.09830
179,0.06940
180,0.08142
181,0.06551
182,0.13362
183,0.09764
184,0.11929
185,0.09774
187,0.09136
188,0.06450
190,0.07988
191,0.07798
192,0.10026
195,0.07974
196,0.07994
198,0.10944
201,0.08568
202,0.09724
203,0.07136
204,0.07339
207,0.07073
213,0.08470
219,0.07942
220,0.07235
222,0.11614
226,0.06337
228,0.12294
230,0.07383
231,0.07372
232,0.11327
233,0.08195
234,0.06318
236,0.07689
237,0.06981
238,0.11393
240,0.08514
241,0.07557
242,0.09335
243,0.12088
245,0.07175
246,0.11366
247,0.08720
249,0.09863
250,0.06771
251,0.08774
252,0.07029
253,0.06315
254,0.07934
255,0.10810
256,0.07261
257,0.07315
258,0.06923
259,0.11492
260,0.06878
262,0.07411
267,0.07149
268,0.08446
270,0.06333
272,0.07402
273,0.07090
274,0.06718
275,0.10601
276,0.08636
277,0.10398
278,0.11822
279,0.07396
281,0.07303
282,0.07869
283,0.08050
287,0.06622
288,0.09162
289,0.07618
290,0.08683
291,0.08513
292,0.12954
293,0.09540
294,0.07951
295,0.07376
296,0.13062
297,0.09525
298,0.07846
299,0.09793
300,0.09842
303,0.08034
304,0.11284
308,0.07358
314,0.12490
315,0.07270
317,0.08946
318,0.07267
320,0.09761
322,0.10024
323,0.08751
327,0.07356
329,0.10620
331,0.07242
332,0.15835
333,0.09918
334,0.07552
335,0.07024
336,0.09157
337,0.08186
341,0.09445
343,0.08277
345,0.08427
347,0.07930
348,0.10076
349,0.08940
352,0.07209
353,0.07572
354,0.08164
355,0.07594
356,0.07287
357,0.07806
358,0.07470
359,0.07314
361,0.08483
362,0.07256
365,0.10726
366,0.10812
368,0.07270
369,0.08215
371,0.07339
373,0.06612
376,0.09589
377,0.08326
379,0.08974
381,0.07175
382,0.07299
383,0.07016
384,0.09339
385,0.08372
386,0.07399
387,0.08147
388,0.10920
390,0.07251
391,0.07009
392,0.10256
393,0.06860
394,0.07499
396,0.08566
400,0.09480
402,0.07018
403,0.07063
405,0.08676
407,0.11032
409,0.09198
411,0.06918
412,0.07307
414,0.11712
415,0.08317
416,0.08414
418,0.08103
419,0.07601
421,0.08208
422,0.08533
423,0.08261
424,0.09932
426,0.06906
427,0.10315
428,0.07604
436,0.09155
438,0.07933
442,0.07783
443,0.07166
445,0.07542
446,0.06651
447,0.07319
450,0.08925
452,0.06919
453,0.09188
455,0.08015
458,0.08483
459,0.07174
461,0.07772
463,0.08168
467,0.08326
470,0.07912
471,0.07592
472,0.08785
476,0.11637
477,0.06910
481,0.07593
482,0.10497
483,0.11020
485,0.08454
487,0.07054
488,0.07851
490,0.07165
492,0.07919
494,0.09555
497,0.12221
499,0.07067
500,0.09341
501,0.08856
503,0.06741
505,0.07776
506,0.09673
507,0.08677
509,0.09355
510,0.10823
511,0.10881
512,0.07585
514,0.08556
515,0.07840
516,0.06432
517,0.11936
519,0.06388
520,0.08907
521,0.07652
522,0.09797
523,0.10725
527,0.07848
530,0.09623
532,0.09388
534,0.06878
536,0.09709
539,0.09555
543,0.07194
547,0.11702
550,0.08807
551,0.11818
552,0.08902
553,0.08805
555,0.09430
556,0.09210
557,0.07340
558,0.07775
559,0.07685
560,0.08595
561,0.07064
565,0.07590
566,0.08715
567,0.08301
571,0.07986
572,0.10277
574,0.06497
575,0.09204
576,0.09815
577,0.10049
578,0.07476
579,0.07680
581,0.07630
587,0.07754
589,0.07417
590,0.09008
591,0.08284
592,0.09647
593,0.07650
594,0.12299
595,0.11399
596,0.07637
597,0.07435
598,0.13163
600,0.07349
602,0.06586
605,0.07622
606,0.07161
607,0.06831
612,0.06359
613,0.09474
614,0.07004
615,0.06963
616,0.07002
617,0.09610
618,0.11355
620,0.08721
621,0.07312
622,0.09748
623,0.08617
628,0.09208
631,0.09705
632,0.08157
633,0.07944
634,0.11823
635,0.13602
637,0.07154
638,0.10596
640,0.06717
643,0.07463
644,0.09991
645,0.07623
646,0.08765
649,0.10246
651,0.12057
653,0.07761
654,0.09654
655,0.11467
656,0.07125
658,0.09656
659,0.06703
661,0.10683
662,0.07945
663,0.07715
664,0.09066
665,0.11921
667,0.08739
668,0.09362
671,0.09375
673,0.09758
674,0.07911
675,0.07621
676,0.10953
677,0.07673
678,0.08241
679,0.08696
680,0.09126
681,0.09134
682,0.08935
683,0.08131
684,0.08801
686,0.11105
687,0.09267
688,0.08766
690,0.08256
691,0.07427
692,0.10970
693,0.10521
694,0.07357
695,0.06899
696,0.07378
698,0.08766
699,0.07574
702,0.08671
703,0.07124
705,0.11844
706,0.07272
707,0.10036
708,0.06975
709,0.10007
710,0.08436
713,0.06960
714,0.07988
715,0.10258
716,0.11778
717,0.09582
718,0.08026
719,0.07964
720,0.10471
721,0.07342
723,0.07933
724,0.08633
726,0.07303
728,0.14994
730,0.06523
732,0.06955
734,0.06606
735,0.09139
737,0.08723
738,0.09508
741,0.10944
742,0.08532
743,0.06708
746,0.07094
747,0.08589
749,0.08885
750,0.08695
752,0.09721
755,0.07643
757,0.07377
758,0.07152
759,0.08926
765,0.07831
766,0.07430
767,0.11815
768,0.07262
769,0.07411
770,0.06423
771,0.08685
772,0.07230
773,0.11837
775,0.08546
776,0.09309
778,0.07543
779,0.10929
780,0.07286
782,0.07240
783,0.08726
784,0.07101
785,0.07213
786,0.07242
788,0.08368
789,0.08039
792,0.09429
793,0.07355
794,0.09277
797,0.08448
798,0.06482
799,0.11711
800,0.08145
801,0.09680
802,0.07674
805,0.07262
807,0.08697
808,0.07933
811,0.06477
813,0.07253
814,0.11068
815,0.10573
816,0.12004
817,0.08161
819,0.07047
821,0.08597
823,0.07728
825,0.11745
826,0.06538
827,0.06629
828,0.06555
830,0.08698
831,0.12163
833,0.06510
834,0.07308
835,0.07617
836,0.08610
837,0.11566
838,0.08264
840,0.06727
842,0.07085
844,0.09391
845,0.07506
847,0.07926
848,0.08734
850,0.08034
851,0.07340
852,0.08994
853,0.14896
855,0.09589
856,0.11188
857,0.09067
