,IdList
0,30673851
1,30673669
2,30673504
3,30673296
4,30672742
5,30672719
6,30672576
7,30672127
8,30671370
9,30671117
10,30670942
11,30670847
12,30670846
13,30670780
14,30670753
15,30670473
16,30670159
17,30669573
18,30669549
19,30669348
20,30668424
21,30667154
22,30666991
23,30666989
24,30666984
25,30666980
26,30666458
27,30664943
28,30664922
29,30664741
30,30664661
31,30664471
32,30662654
33,30662586
34,30662369
35,30662340
36,30661931
37,30661649
38,30661507
39,30661330
40,30660732
41,30660706
42,30660687
43,30660601
44,30660137
45,30659939
46,30659469
47,30659412
48,30659084
49,30659075
50,30659044
51,30658634
52,30658630
53,30658097
54,30657914
55,30657439
56,30657431
57,30657255
58,30656889
59,30655683
60,30655217
61,30654818
62,30654812
63,30654805
64,30654453
65,30654277
66,30654169
67,30651608
68,30651193
69,30650583
70,30650574
71,30650556
72,30650536
73,30650530
74,30649593
75,30649324
76,30648276
77,30648033
78,30647452
79,30646532
80,30646204
81,30646134
82,30645010
83,30644630
84,30644575
85,30644556
86,30644069
87,30643981
88,30643537
89,30643535
90,30643137
91,30642871
92,30642815
93,30642789
94,30642052
95,30642033
96,30641996
97,30641979
98,30641941
99,30641857
100,30641732
101,30641689
102,30640286
103,30640135
104,30639806
105,30639734
106,30639608
107,30639450
108,30639359
109,30639358
110,30639268
111,30639195
112,30638821
113,30638632
114,30638212
115,30637966
116,30637735
117,30637489
118,30637329
119,30636657
120,30636636
121,30636247
122,30636176
123,30636111
124,30636104
125,30635861
126,30635840
127,30635612
128,30635594
129,30635550
130,30635106
131,30635024
132,30634981
133,30634578
134,30634484
135,30633969
136,30633898
137,30633643
138,30632684
139,30631778
140,30631281
141,30631157
142,30630994
143,30630708
144,30630288
145,30630179
146,30630109
147,30630004
148,30629923
149,30629464
150,30629164
151,30629126
152,30628563
153,30628172
154,30628158
155,30628058
156,30626895
157,30626749
158,30626728
159,30626266
160,30626127
161,30625317
162,30625301
163,30624598
164,30624587
165,30624532
166,30623851
167,30623792
168,30623320
169,30623143
170,30623041
171,30623013
172,30622706
173,30622622
174,30622603
175,30622587
176,30622452
177,30622312
178,30622311
179,30622308
180,30621799
181,30621789
182,30621673
183,30621476
184,30621393
185,30621142
186,30620684
187,30620339
188,30620245
189,30619871
190,30619612
191,30619475
192,30619236
193,30619085
194,30618891
195,30618744
196,30618143
